updated_species_id,updated_compound_id,charge,value,name of file,data type,original order,old_compound_id,old_species_id
CHB_15713_-3,CHB_15713,-3,-4114035.152,15_dH,dH_f,2059,CHB_15713,CHB_15713_-3
CHB_18077_-2,CHB_18077,-2,-3997075.616,16_dH,dH_f,2060,CHB_18077,CHB_18077_-2
CHB_18077_0,CHB_18077,0,-3991619.68,17_dH,dH_f,2061,CHB_18077,CHB_18077_0
CHB_18077_-1,CHB_18077,-1,-3990799.616,18_dH,dH_f,2062,CHB_18077,CHB_18077_-1
CHB_18077_-4,CHB_18077,-4,-3989209.696,19_dH,dH_f,2063,CHB_18077,CHB_18077_-4
CHB_18077_-3,CHB_18077,-3,-3980758.016,20_dH,dH_f,2064,CHB_18077,CHB_18077_-3
CHB_17625_-2,CHB_17625,-2,-3954181.248,21_dH,dH_f,2065,CHB_17625,CHB_17625_-2
CHB_17625_-1,CHB_17625,-1,-3947905.248,22_dH,dH_f,2066,CHB_17625,CHB_17625_-1
CHB_17625_-4,CHB_17625,-4,-3945771.408,23_dH,dH_f,2067,CHB_17625,CHB_17625_-4
CHB_17625_-3,CHB_17625,-3,-3937863.648,24_dH,dH_f,2068,CHB_17625,CHB_17625_-3
CHB_17625_0,CHB_17625,0,-3935767.464,25_dH,dH_f,2069,CHB_17625,CHB_17625_0
CHB_17677_-2,CHB_17677,-2,-3931478.864,26_dH,dH_f,2070,CHB_17677,CHB_17677_-2
CHB_17677_-1,CHB_17677,-1,-3925202.864,27_dH,dH_f,2071,CHB_17677,CHB_17677_-1
CHB_17677_-4,CHB_17677,-4,-3922483.264,28_dH,dH_f,2072,CHB_17677,CHB_17677_-4
CHB_17677_0,CHB_17677,0,-3917537.776,29_dH,dH_f,2073,CHB_17677,CHB_17677_0
CHB_17677_-3,CHB_17677,-3,-3915161.264,30_dH,dH_f,2074,CHB_17677,CHB_17677_-3
CHB_15996_-2,CHB_15996,-2,-3881463.328,31_dH,dH_f,2075,CHB_15996,CHB_15996_-2
CHB_15996_-1,CHB_15996,-1,-3875187.328,32_dH,dH_f,2076,CHB_15996,CHB_15996_-1
CHB_15996_-4,CHB_15996,-4,-3872467.728,33_dH,dH_f,2077,CHB_15996,CHB_15996_-4
CHB_15996_0,CHB_15996,0,-3867530.608,34_dH,dH_f,2078,CHB_15996,CHB_15996_0
CHB_15996_-3,CHB_15996,-3,-3865145.728,35_dH,dH_f,2079,CHB_15996,CHB_15996_-3
CHB_16039_-4,CHB_16039,-4,-3818600,36_dH,dH_f,2080,CHB_16039,CHB_16039_-4
CHB_16039_-3,CHB_16039,-3,-3812250,37_dH,dH_f,2081,CHB_16039,CHB_16039_-3
CHB_16039_-5,CHB_16039,-5,-3794650,38_dH,dH_f,2082,CHB_16039,CHB_16039_-5
CHB_16311_-2,CHB_16311,-2,-3755307.36,39_dH,dH_f,2083,CHB_16311,CHB_16311_-2
CHB_16311_-1,CHB_16311,-1,-3749031.36,40_dH,dH_f,2084,CHB_16311,CHB_16311_-1
CHB_16311_-4,CHB_16311,-4,-3746311.76,41_dH,dH_f,2085,CHB_16311,CHB_16311_-4
CHB_16311_0,CHB_16311,0,-3741554.552,42_dH,dH_f,2086,CHB_16311,CHB_16311_0
CHB_16311_-3,CHB_16311,-3,-3738989.76,43_dH,dH_f,2087,CHB_16311,CHB_16311_-3
CHB_16497_-2,CHB_16497,-2,-3720027.872,44_dH,dH_f,2088,CHB_16497,CHB_16497_-2
CHB_16497_-1,CHB_16497,-1,-3713751.872,45_dH,dH_f,2089,CHB_16497,CHB_16497_-1
CHB_16497_-4,CHB_16497,-4,-3711032.272,46_dH,dH_f,2090,CHB_16497,CHB_16497_-4
CHB_16497_0,CHB_16497,0,-3706095.152,47_dH,dH_f,2091,CHB_16497,CHB_16497_0
CHB_16497_-3,CHB_16497,-3,-3703710.272,48_dH,dH_f,2092,CHB_16497,CHB_16497_-3
CHB_15422_-2,CHB_15422,-2,-3605620.576,49_dH,dH_f,2093,CHB_15422,CHB_15422_-2
CHB_15422_-1,CHB_15422,-1,-3599344.576,50_dH,dH_f,2094,CHB_15422,CHB_15422_-1
CHB_15422_-4,CHB_15422,-4,-3595160.576,51_dH,dH_f,2095,CHB_15422,CHB_15422_-4
CHB_15422_0,CHB_15422,0,-3592185.752,52_dH,dH_f,2096,CHB_15422,CHB_15422_0
CHB_15422_-3,CHB_15422,-3,-3589302.976,53_dH,dH_f,2097,CHB_15422,CHB_15422_-3
CHB_16284_-2,CHB_16284,-2,-3430135.248,54_dH,dH_f,2098,CHB_16284,CHB_16284_-2
CHB_16284_-1,CHB_16284,-1,-3423859.248,55_dH,dH_f,2099,CHB_16284,CHB_16284_-1
CHB_16284_-4,CHB_16284,-4,-3419675.248,56_dH,dH_f,2100,CHB_16284,CHB_16284_-4
CHB_16284_0,CHB_16284,0,-3416712.976,57_dH,dH_f,2101,CHB_16284,CHB_16284_0
CHB_16284_-3,CHB_16284,-3,-3413817.648,58_dH,dH_f,2102,CHB_16284,CHB_16284_-3
CHB_40595_-4,CHB_40595,-4,-3343250,59_dH,dH_f,2103,CHB_16905,CHB_16905_-4
CHB_40595_-3,CHB_40595,-3,-3341450,60_dH,dH_f,2104,CHB_16905,CHB_16905_-3
CHB_40595_-2,CHB_40595,-2,-3339650,61_dH,dH_f,2105,CHB_16905,CHB_16905_-2
CHB_16908_-2,CHB_16908,-2,-3276600,62_dH,dH_f,2106,CHB_16908,CHB_16908_-2
CHB_16908_-1,CHB_16908,-1,-3274510,63_dH,dH_f,2107,CHB_16908,CHB_16908_-1
CHB_16908_0,CHB_16908,0,-3266560,64_dH,dH_f,2108,CHB_16908,CHB_16908_0
