Ca,Co,IS,K,Keq,Li,Mg,Mn,Na,T,Zn,deltaH,pH,rxn_formula,rxn_id,reference_id
,,0.25,0.064049541,0.138,,,,,311.15,,,6.79,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3412,85LIE
,,0.25,,0.029,,,,,303.15,,,4.25,CHB_15377 + CHB_3480 = CHB_17656 + MAN_10023,Keq_4244,99NIE/SCH
,,2,,11.025,,,,,298.15,,,6.67,CHB_15377 + MAN_10088 = CHB_15429 + CHB_21563,Keq_1350,63JEN/CAP
,,0.085,,128,,,,0.0998,298.15,,,5.39,CHB_15377 + MAN_10093 = CHB_16918 + CHB_28831,Keq_4160,96TEW/SCH
,,0.25,0.067001017,0.139,,,,,311.15,,,6.91,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3413,85LIE
,,0.25,0.178,0.0061,,0.0117,,,311.15,,,7.378,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_2882,79LAW/VEE
,,0.059242111,,8.70E-05,,0.0001,,,289.15,,,8.8,2 CHB_15351 = CHB_15345 + CHB_15346,Keq_668,54GOL
,,0.25,,0.0073,,,,,299.15,,,6.45,CHB_15350 + CHB_16069 = CHB_16984 + CHB_26078,Keq_722,54STA
,,0.25,0.178,0.0069,,0.012,,,311.15,,,7.35,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_2883,79LAW/VEE
,,0.25,,0.00829,,,,,311.15,,,7.79,CHB_15428 + CHB_30313 = CHB_16526 + MAN_10149,Keq_3456,85LIE
,,0.25,,0.014,,,,,311.15,,,7.03,CHB_15428 + CHB_30313 = CHB_16526 + MAN_10149,Keq_3457,85LIE
,,0.25,0.097578336,3.86,,,,,311.15,,,8.49,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3454,85LIE
,,0.25,0.097578336,6.55,,,,,311.15,,,8.49,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3455,85LIE
,,0.25,0.096098856,3.55,,,,,311.15,,,8.27,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3452,85LIE
,,0.25,0.096986072,3.55,,,,,311.15,,,8.39,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3453,85LIE
,,0.25,0.094319785,2.37,,,,,311.15,,,8.09,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3450,85LIE
,,0.25,0.096261663,2.75,,,,,311.15,,,8.29,CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,Keq_3451,85LIE
,,0.088681597,,35.2,,,,0.088680479,286.15,,,5.65,CHB_15377 + CHB_36219 = CHB_4139 + CHB_4167,Keq_3697,89GOL/TEW
,,0.25,,0.014,,,,,311.15,,,7.04,CHB_15428 + CHB_30313 = CHB_16526 + MAN_10149,Keq_3458,85LIE
,,0.25,,0.0197,,,,,311.15,,,7.18,CHB_15428 + CHB_30313 = CHB_16526 + MAN_10149,Keq_3459,85LIE
,,0.32,,0.88,,,,,298.15,,,7.45,CHB_16810 + CHB_17895 = CHB_29985 + CHB_36242,Keq_4222,98TEW/KIS
,,0.031506294,,0.1,,0.0105,,,310.15,,,9.1,CHB_15422 + CHB_16919 = CHB_16761 + CHB_17287,Keq_376,48SOR/DEG
,,0.13948625,,0.373134328,,,,,333.15,,,7.2,CHB_46994 = CHB_45506,Keq_41,02VUO/PAS
,,0.188231864,0.1,5.2,,0.02,,,298.15,,,7.5,CHB_15422 + CHB_17345 = CHB_16761 + CHB_17552,Keq_4129,96LI/ZHA
,,0.13948625,,0.119402985,,,,,333.15,,,7.2,CHB_46994 = CHB_28552,Keq_46,02VUO/PAS
,,0.25,,0.0107,,,,,298.15,,,7,CHB_15846 + MAN_10156 = CHB_16908 + MAN_10157,Keq_950,57TAL
,,0.13948625,,0.138461538,,,,,343.15,,,7.2,CHB_46994 = CHB_28552,Keq_47,02VUO/PAS
,,0.25,,1.08,,,,,343.15,,,8,CHB_4167 = CHB_37721,Keq_1425,65ICH/HIR
,,0.294324002,,0.256,,0.0125,,,310.15,,,7.6,CHB_506227 = CHB_63153,Keq_1424,65GHO/ROS2
,,0.138566877,,5.7,,0.006,,,301.15,,,8.1,CHB_15422 + CHB_15539 + CHB_17544 = CHB_15466 + CHB_16761 + CHB_26078,Keq_1427,65KAZ/GRO
,,0.25,,0.0213,,,,,298.15,,,7,CHB_15846 + MAN_10159 = CHB_16908 + MAN_10158,Keq_1196,59TAL/LEV
,,0.030985533,,0.145,,,,0.028983001,303.15,,,8.4,CHB_15412 = CHB_16199 + CHB_16891,Keq_1421,65GAU/WOL
,,0.022086551,0.005,0.0034,,,,0.017080375,308.15,,,9,CHB_15846 + CHB_16138 = CHB_16622 + CHB_16908,Keq_1420,65EIC/CYN
,,0.058223172,,0.429,,,,,310.15,,,7.6,CHB_15784 = CHB_62168,Keq_1423,65GHO/ROS
,,0.069760649,,0.111,,,,0.034745571,303.15,,,8.8,CHB_15412 = CHB_16199 + CHB_16891,Keq_1422,65GAU/WOL
,,0.04325716,,0.588,,,,,310.15,,,8.3,CHB_15570 + CHB_16810 = CHB_15361 + CHB_29989,Keq_1429,65MAR/JEN
,,0.385401229,,3.366,,,,0.376198899,303.15,,,6.4,CHB_18009 + CHB_4167 = CHB_16217 + CHB_16474,Keq_1428,65LEE/DOB
,,0.25,0.23188,154,,0.00604,,,311.15,,,6.99,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2888,79LAW/VEE
,,0.167322853,0.1,3.1,,0.013,,,298.15,,,7.5,CHB_15422 + CHB_17345 = CHB_16761 + CHB_17552,Keq_4128,96LI/ZHA
,,0.25,0.23188,173,,0.00604,,,311.15,,,6.99,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2889,79LAW/VEE
,,0.13948625,,2.04,,,,,298.15,,,7.2,MAN_10212 = CHB_16023,Keq_48,02VUO/PAS
,,0.13948625,,2.304347826,,,,,313.15,,,7.2,MAN_10212 = CHB_16023,Keq_49,02VUO/PAS
,,0.25,,0.0344,,,,0.025,311.15,,,7,CHB_15589 + CHB_18009 = CHB_15361 + CHB_16474 + CHB_16526,Keq_1897,69VEE/EGG
,,0.445318173,0.4,3.54,,0.008,,,288,,,7.5,CHB_17835 = CHB_15377 + CHB_18021,Keq_952,57WOL/BAL
,,0.1,,4.74,,,,,304.1,,,7.3,CHB_15377 + CHB_29806 = CHB_15589,Keq_498,53BOC/ALB
,,0.141832893,,6.31,,,,,275.8,,,7.3,CHB_15377 + CHB_29806 = CHB_15589,Keq_616,53MAS
,,0.083647539,,6.31,,,,,276.9,,,6.35,CHB_15377 + CHB_29806 = CHB_15589,Keq_617,53MAS
,,0.101838158,,2.128,,0.006,,,303.15,,,8,CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,Keq_1511,66UHR/MAR
,,0.096673623,,1.22,,0.004,,,303.15,,,8,CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,Keq_1510,66UHR/MAR
,,0.124703111,,0.25,,0.001,,,303.15,,,7.8,CHB_15996 + CHB_16077 = CHB_18361 + CHB_62254,Keq_1513,66VER/ROD
,,0.107639584,,2.439,,0.008,,,303.15,,,8,CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,Keq_1512,66UHR/MAR
,,0.143471359,0.073637795,10.2,,0.0045,,,298.15,,,8,CHB_15361 + CHB_15422 + CHB_17544 = CHB_16452 + CHB_16761 + CHB_26078,Keq_1515,66WOO/DAV
,,0.132330415,0.071142347,6.55,,0.0045,,,298.15,,,7.4,CHB_15361 + CHB_15422 + CHB_17544 = CHB_16452 + CHB_16761 + CHB_26078,Keq_1514,66WOO/DAV
